Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
528.86,0.0042908218,0.004453396,0.0011967388,0.000636613,0.0007189506,0.0389038469,0.0405412824,0.0686170775,0.0432593007,0.0583917646
530.4,0.0003467067,0.0006716626,0.0002192345,0.0001236871,0.0001063688,0.0025145652,0.0037888511,0.0056147815,0.0035040282,0.004315011
531.94,0.0004574965,0.0003274685,0.0001523579,0.000199559,0.0001208931,0.0106453865,0.0050263578,0.0030955421,0.0037923777,0.0042086825
533.5,0.0002541647,0.0003565182,0.0002046524,0.0003437947,0.0001179028,0.0017662406,0.0005750981,0.0003794147,0.0005661369,0.0003356572
535.04,0.0002528613,0.0002007065,0.0001146456,0.0002058817,0.0001042329,0.0006142237,0.0005489573,0.0014004525,0.0002798998,0.0014445117
536.58,0.0013203531,0.0012420917,0.0005330013,0.000765042,0.001365707,0.0038541844,0.0035222147,0.005547608,0.0036386969,0.0049907713
538.25,0.0006178158,0.0003609196,0.0002192345,0.0002157608,0.0003549899,0.0016564586,0.000723578,0.0012605462,0.0008169904,0.0009443602
539.8,0.0004835647,0.0006029999,0.0003474565,0.0003319397,0.0005399605,0.0013417036,0.002757857,0.0035305487,0.0015864507,0.0016449428
541.39,0.0001225204,0.0002191926,0.0001664372,8.49608e-05,0.0001234562,0.0005725343,0.0003084617,0.0002733268,0.0003290143,0.0001600485
543.01,0.0001655329,0.000289616,0.0001458211,0.0001770345,0.0002328152,0.000149387,0.0002467694,0.0002830554,0.0001716366,0.0006357482
544.59,0.0003115147,0.0001575722,0.0002629808,0.0004358685,0.0003071452,0.0002035832,0.0005635962,0.0002742534,0.0002344821,0.000213398
546.15,0.0002606818,0.0001971854,0.0003394112,0.0001726877,6.45048e-05,0.0004947141,0.0002289936,0.0002131023,0.0004082312,0.0002237715
547.73,0.0009540952,0.0005475415,0.0004530511,0.0006350323,0.000243922,0.0028793474,0.0017488212,0.0011595543,0.0018188204,0.0024881612
549.33,0.0003440999,6.42613e-05,8.24644e-05,0.000382521,0.0001700192,0.000742766,0.0009353187,0.0005165414,0.000505932,0.0004712539
550.96,0.0076523131,0.003134719,0.0034373558,0.008059022,0.0030752971,0.0015633522,0.0028786276,0.0007602192,0.000857127,0.0006131487
552.6,0.0001472852,0.0004771181,0.0002644893,0.0004390298,0.00007433,0.0004161991,0.0006001933,0.0003303085,0.0009632777,0.0002037654
554.18,0.0003871124,0.0001206,7.19049e-05,0.000239866,0.000132427,0.0002369347,0.0001275672,0.0002270002,0.0001505121,0.0002074703
555.74,0.0006021749,0.0002332773,0.000188059,0.0002651566,0.0001418251,0.0002445778,0.0002054669,0.0004160127,0.0004172091,0.0001337442
557.3,0.0004926885,0.0002341576,0.0001000635,0.0001371227,0.0002332424,0.0002174797,0.0003529011,0.0004706781,0.0003960846,0.0002811963
558.97,0.0002267931,0.0001540511,0.0001950986,9.76061e-05,0.0001264464,0.0010568261,0.0010221062,0.0013203075,0.0009643339,0.0008672998
