"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
784.53,121.86,31.55,13.03,42.67,21.4,29.17,41.76,37.41,51.05,89.23,55.52,29.49,102.23,61.69,74.65,96.14,22.66,13.27,21.75,40.06,18.47,8.29,48.52,58.19,48.6,29.72,43.39,19.1,75.82,60.32
785.11,2.97,23.96,7.21,5.32,6.52,0,6.79,0.57,2.25,7.75,2.2,2.56,10.58,5.53,13.43,1.95,33.87,7.74,9.79,14.12,22.44,11.67,8.13,18.12,11.26,6.75,19.92,16.48,17.97,0
785.69,15.76,24.04,39.9,10.23,23.36,17.32,23.2,14.58,71.16,98.13,36.49,68.69,18.71,75.81,98.85,118.3,26.46,26.7,56.84,13.7,42.38,2.32,49.28,33.52,81.14,38.19,30.34,41.33,27.84,32.25
786.27,39.73,42.49,43.54,23.99,37.92,38.85,19.45,9.26,15.36,15.23,10.74,89.83,81.23,41.93,39.05,39,148.18,83.42,45.5,98.18,133.35,32.42,52.37,19.82,32.73,54.04,46.33,68.53,33.04,46.51
787.15,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,2.06,0,3.26,0,0,0,5.73,0,4.58,0,0,0,0,0,2.04,0
787.74,33.66,36.36,38.02,81.13,157.29,16.19,55.17,31.66,157.46,15.38,58.96,164.04,30.6,46.59,173.02,86.21,27.66,22.93,63.92,48.2,173.84,47.45,63.84,119.05,88.6,110.97,31.89,182.37,75.52,60.72
788.34,14.83,100.03,101.66,46.48,37.48,23.5,18.87,19.22,18.58,95.4,115.8,10.01,47.29,53.36,17.33,88.01,84.8,71.3,28.76,17.75,58.68,32.52,10.56,129.39,8.75,32.52,23.14,75.6,9.77,27.24
788.96,25.36,0,0,0,9.74,4.22,12.75,11.9,0.61,6.98,0,9.93,6.56,0,14.34,0,0,0,0,0,0,5.83,7.39,0,51.04,6.56,12.21,0,23.53,19.41
789.55,69.98,71.88,26.69,41.12,18.02,39.52,53.16,33.34,10.87,16.76,16.89,4.53,46.55,28.93,23.55,33.67,7.36,14.3,7.18,7.48,4.55,10.72,13.19,25.61,23.98,9.97,14.2,14.72,27.08,25.77
790.24,85.32,127.44,104.42,65.6,84.67,126.62,62.31,91.2,153.56,193.95,212.45,198.84,248.12,203.12,188.83,257.24,143.54,91.26,97.15,117.92,128.89,29.07,131.56,155.4,213.19,180,180.65,154.34,176.18,174.06
790.87,0,0,0,7.46,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,10.4,5.75,0,0,0,0,0,0,0.83
791.49,26.58,53.29,59.49,30.13,50.48,49.41,36.91,16.23,83.2,97.27,82.09,94,93.66,92.7,106.95,106.2,68.35,39.95,52.35,55.26,56.46,12.59,78.53,103,99.51,66.03,78.7,67.6,114.63,58.79
792.07,0,3.52,0.67,0,0,4.77,0,0,9.59,0,0,0,5.75,0,0,0,0,0,4.16,14.6,3.24,10.75,2.58,2.76,4.48,0,1.11,2.71,4.6,0
