"Mass","P1aDD_1","P1aDD_2","P1aDD_3","P1aDD_4","P1aDD_5","P1aDD_6","P1aDD_7","P1bDD_1","P1bDD_2","P1bDD_3","P1bDD_4","P1bDD_5","P1bDD_6","P1bDD_7","P1bDD_8","P21aDD_1","P21aDD_2","P21aDD_3","P21aDD_4","P21aDD_5","P21aDD_6","P21aDD_7","P21aDD_8","P21bDD_1","P21bDD_2","P21bDD_3","P21bDD_4","P21bDD_5","P21bDD_6","P21bDD_7","P21bDD_8"
6704.36,0,0,0,0,0,10.91,0.83,0,0,0,0,0,3.61,3.7,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6712.04,0,0,2.01,0,0,0,0.61,0,0,0,0,0,0,0,0,0,7.85,1.93,10,0,0,0,0,0,0.41,2.93,0.91,0,0,0,1.14
6720.03,0,0,0,0,2.35,0,0,10.04,1.61,0,1.37,5.77,4.47,0,0.91,0,0,0,0,7.3,3.11,4.64,7.16,2.12,2,0,0,0,0.57,0,0.74
6731.88,0,0,0,0,0,0,1.39,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,4.76,0
6739.47,0,0,0,0.33,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6748.58,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6824.66,68.99,0,351.8,0,0,2754.14,0,624.38,391.65,1218.26,595.88,1173.15,3497.34,1166.61,1297.76,2148.29,1583.59,2017.98,3045.3,1857.66,976.55,3738.43,1251.25,660.62,621.51,964.53,378.33,1818.25,405.21,3044.74,868.33
6833.83,80.57,320.53,0,138.69,1366.95,0,552.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6841.51,0,18.09,37.42,0,0,392.39,45.05,281.9,13.57,0,0,69.76,0,0,72.74,0,246.8,328.05,484.13,268.34,111.86,0,143.33,48.89,46.31,89.29,33.92,0,13.32,0,60.53
6852.55,21.9,0,22.55,437.87,0,0,0,65.57,0,0,25.67,0,0,0,53.57,0,0,47.47,0,0,0,0,0,0,21.38,38.66,0,0,0,0,0
6861.24,11.47,22.21,0,0,0,238.67,32.1,0,29.55,49.54,0,52.4,0,20.73,0,0,0,0,0,30.42,0,0,0,0,0,0,13.83,0,0,0,0
6993,6.05,0,119.07,0,0,333.79,73.49,71.92,94.85,222.84,91.29,325.22,431.56,206.41,296.6,579.86,362.24,440.97,702.78,412.07,213.43,996.3,298.35,359.06,136.35,226.08,80.72,432.58,81.49,765.12,191.34
7003.16,15.37,77.95,0,26.71,159.17,37.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,19.82,0,0,5.8,0,15.18
7012.07,0,0,0,0,0,0,4.05,23.59,0,0,0,0,0,0,0,0,53.43,52.92,88.94,53.71,20.62,0,38.28,0,0,0,11.61,0,0,0,0
7021.23,2.93,0,0,60.96,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.31,0,0,0,0,0
7032.84,0,0,0,0,0,0,0,0,4.47,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7058.58,0,0,0.78,0,0,0,0,0,0,0,0,0.58,1.76,0.29,0,0,4.01,3.63,0,5.69,3.82,0,0,6.1,1.47,11.58,1.5,3.6,5.15,0,4.39
7069.04,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7076.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,5.8,2.92,0,2.83,5.75,0,4.22,8.14,3.95,9.26,1.45,8.69,7.3,4.24,4.87
7084.55,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7122.95,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7155.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0
7164.25,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0
7172.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0
7205.03,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0
7214.94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
